AuthorID,FullName,Gender,BirthDate,Address,PhoneNumber,CMND,PenName
TG001,Đỗ Đại Minh,Nam,2000-11-24,Missouri,0901234567,100001001,Đại Minh
TG002,Phan Cao Lộc,Nam,1947-08-24,Rio de Janeiro,0912345678,100001002,Cao Lộc
TG003,Nguyễn Nhật Ánh,Nam,1955-05-07,Quảng Nam,0923456789,100001003,Nhật Ánh
TG004,Trần Văn Long,Nam,1966-02-14,New York,0934567890,100001004,Trung Long
TG005,Nguyễn Văn Tuấn,Nam,1978-06-10,Hồ Chí Minh,0945678901,100001005,Tuấn Tony
TG006,Nguyễn Thị Thảo,Nữ,1987-03-20,Hà Nội,0956789012,100001006,Thảo Nguyên
TG007,Trần Hữu Tùng,Nam,1942-01-08,Oxford,0967890123,100001007,Hữu Tùng
TG008,Trần Hữu Đức,Nam,1985-12-18,Đà Nẵng,0978901234,100001008,Hữu Đức
TG009,Ngô Sĩ Liên,Nam,1900-01-01,Bắc Giang,0989012345,100001009,Sĩ Liên
TG010,Đinh Văn Can,Nam,1944-07-05,London,0990123456,100001010,Can David
TG011,Lê Văn Ánh,Nam,1969-03-19,Barcelona,0902345678,100001011,Ánh Rovira
TG012,Lê Thị Linh,Nữ,1950-09-22,Chicago,0913456789,100001012,Thị Linh
TG013,Nguyễn Thị Kim,Nữ,1965-07-31,Yate,0924567890,100001013,Kim Rowling
TG014,Nguyễn Văn Hòa,Nam,1982-10-24,Indonesia,0935678901,100001014,Hòa Andrea
TG015,Trần Văn Minh,Nam,1986-09-03,Ohio,0946789012,100001015,Minh Clear
TG016,Phạm Văn Cường,Nam,1932-10-24,Utah,0957890123,100001016,Cường Covey
TG017,Nguyễn Văn Sơn,Nam,1859-05-22,Edinburgh,0968901234,100001017,Sơn Doyle
TG018,Nguyễn Văn Pháp,Nam,1946-04-04,France,0979012345,100001018,Pháp Galland
TG019,Lê Văn Bảo,Nam,1933-05-19,Malta,0980123456,100001019,Bảo Bono
TG020,Tô Hoài,Nam,1920-09-27,Hà Nội,0991234567,100001020,Hoài
